ticker,polarity,subjectivity,body,id
AAPL,0.3,0.2,"Fun fact: Holding for half a year or longer really pays off. If you bought AAPL shares on August 25th you're now up a whopping 0.02% 😎

Source: I bought AAPL shares on August 25th.",gymd6eo
UWMC,0.0,0.0,Beep boop UWMC 💎🙌🚀🚀🚀🚀,gymf6ey
TSLA,0.0,0.0,"Imagine waking up this morning thinking that the pain was finally over.   
Imagine having TSLA calls expiring this week.   
Imagine being me 🤡",gym4fti
COIN,0.0,0.0,Imagine being a retard that bought COIN at + $400🤡,gym8xge
GME,-0.7142857142857143,0.8571428571428571,"Everyone please keep my brother in your thoughts and prayers.

He’s not sick or anything, he just has GME $250 calls.",gynlikt
AAPL,0.0,0.0,"AAPL

The original GUH",gylzhjo
COIN,0.0,0.0,Cathies gonna own COIN if she keeps averaging down,gym0voe
COIN,0.0,0.0,"So Cathie really sold AAPL in order to *checks notes* buy COIN at the top and buy the PLTR dip...k, got it 

This is what I get for buying an ETF operated by a person who makes stock-picking decisions that even I, a retard, find retarded",gymiey1
AAPL,0.0,0.0,"So Cathie really sold AAPL in order to *checks notes* buy COIN at the top and buy the PLTR dip...k, got it 

This is what I get for buying an ETF operated by a person who makes stock-picking decisions that even I, a retard, find retarded",gymiey1
PLTR,0.0,0.0,"So Cathie really sold AAPL in order to *checks notes* buy COIN at the top and buy the PLTR dip...k, got it 

This is what I get for buying an ETF operated by a person who makes stock-picking decisions that even I, a retard, find retarded",gymiey1
AMC,0.0,0.0,"I am completely overleveraged in AMC puts for 2023 

Someone convince me that it goes down 🤡",gymih0y
WOW,0.0,0.0,"HOLY LEE FUK STAT

NOBODY WHO BOUGHT COIN$ AT IPO HAS MADE PROFIT 

NOBODY!! 🥺😟😳😰

ALL EQUEL = BAG HOLDERS!!!

WOW WHAT HORROR 

#THE COINJURING",gymcngf
LEE,0.0,0.0,"HOLY LEE FUK STAT

NOBODY WHO BOUGHT COIN$ AT IPO HAS MADE PROFIT 

NOBODY!! 🥺😟😳😰

ALL EQUEL = BAG HOLDERS!!!

WOW WHAT HORROR 

#THE COINJURING",gymcngf
RIOT,-0.3333333333333333,0.6,I actually fucking hate RIOT the only thing this shit operates in is fucking tanking and I already knows it’s gonna fly tomorrow absolutely retarded,gym34nm
TSLA,0.0,0.0,"According to ancient legends, TSLA will finally stop drilling the day that nobody mentions it on WSB

In other words, shits going to 0 and getting delisted lol",gym61u2
PLTR,0.7,0.6000000000000001,#GOOD DAY FOR $PLTR NATION.🤑🤑🤑,gym0hqu
PSA,0.0,0.0,"PSA for those that apparently need it: up .5% for the day isn’t “squeezing”.

The more you know.",gymiasz
MSFT,0.6,1.0,"“Does nobody remember the 90s when MSFT would partner with companies, steal their IP, and then drag the lawsuits out until the other company went bankrupt?” 

Jesus, that’s fucked. Bill Microsoft always been a fake nice guy.",gynkith
IRL,0.0,0.0,"I hope I never meet someone IRL who posts about ""fucking hoes"" in WSB threads...",gymn51c
PLTR,0.2,0.8,Idk how to feel. All my positions are doing terribly. But PLTR is gently patting me on the penis and telling me everything's going to be okay,gymnq7c
TSLA,0.0,0.0,"Tuesday Options Volumes:  
  
**$TSLA 1186K (59% call 41% put)**  
**$QQQ 964K (37% call 63% put)**  
$T 787K (61% call 39% put)  
**$AMC 609K (70% call 30% put)**  
**$AAPL 562K (63% call 37% put)**  
**$PLTR 483K (72% call 28% put)**  
$IWM 421K (35% call 65% put)  
$EEM 387K (79% call 21% put)  
$F 370K (85% call 15% put)  
$SLV 361K (82% call 18% put)  
**$NIO 335K (71% call 29% put)**  
$AAL 334K (67% call 33% put)  
$MSFT 310K (78% call 22% put)  
$WFC 285K (52% call 48% put)  
$AMZN 246K (59% call 41% put)  
$WMT 235K (65% call 35% put)  
$FXI 234K (63% call 37% put)",gymt3nc
ATH,-0.25,0.4,Now comes the part where people panic over a small dip in futures after we retard rallied to ATH for a month straight,gymwf9c
GME,0.0,0.0,If GME is down then market will be up,gym74b7
TA,0.0,0.0,Cramer doing TA on the VIX lmao,gymjuu6
U,-0.21875,0.625,U guys know aliens are here on earth right? Something just fell off the roof of my barn and it looked like a retarded little green alien,gymx05u
NKLA,0.13636363636363635,0.45454545454545453,have you guys heard of this hot new EV stock NKLA,gymxhxm
EV,0.13636363636363635,0.45454545454545453,have you guys heard of this hot new EV stock NKLA,gymxhxm
GF,0.0,0.0,My GF says she’d love me even if I was broke. I guess we’re about to find out if she’s lying. 😌,gyn19aq
DIS,0.0,0.0,DIS is gonna trade flat for the next 4 months and my leaps are going to bleed the fuck out,gym2af7
PLTR,0.0,0.0,UWMC and PLTR are going again tomorrow.,gym3x14
UWMC,0.0,0.0,UWMC and PLTR are going again tomorrow.,gym3x14
T,0.0,0.0,Don't forget to pour one out for the boomers that lost their T dividend today.,gymvcn8
AAPL,0.0,0.0,Accidentally bought AAPL Total Landscaping,gymv9d4
UWMC,0.0,0.0,Checking if my UWMC buy at close was a good move or not.,gym1n2j
TSLA,0.0,0.0,"ARKK keeps adding TSLA every time the weighting goes below 10 lol. Cathie knows TSLA made her , so she can't let go.",gync4nh
TSLA,0.0,0.0,Reverse split TSLA back to 1600. Problem solved.,gynkn1b
PLTR,0.0,0.0,PLTR FD puts are printing at 9:30a tomorrow. I seriously hope you guys didn’t forget to buy some before close,gym0d7j
TTWO,-0.45,0.65,"Imagine smashing earnings because you’re still milking a game you released in 2013. 

TTWO are a bunch of jackasses.",gym61r9
GME,0.0,0.0,So GME needs to fall to 150 for SPY to inverse back to 416😩😩😩😩🤡🤡🤡🤡,gym9m9u
AMZN,-0.1,0.45,Holy shit i actually closed AMZN at the top today,gymhf2q
ROPE,0.0,0.0,Long $ROPE will be the number one mentioned stock on WSB tomorrow,gymi1vt
SQ,0.0,0.0,Got 3k fresh powder hitting tomorrow. What dip we buying? SQ looking kinda juicy,gyms2eg
AAPL,0.0,0.0,"Most Traded Contracts:  
  
 $AAPL May $127 Call  
 $AMC May $14 Call  
 $TSLA May $600 Call  
 $BP July $23 Put  
 $NIO May $34 Call  
 $AMC May $15 Call  
 $AAL May $24 Call  
 $BP July $29 Call  
 $T May $30 Call  
 $WFC May $40 Call  
 $AAL December $20 Put",gymt5nu
GOOGL,-0.2375,0.5575,These 13Fs are dumb as fuck. Buffet is like daytrading basically. Everyone suddenly decided to go long oil cuz maybe they wont all be bankrupt in 10 years. I mean its just sad. Some people actually sold GOOGL for stocks that have a shelf life of 2-3 months. Its like bro....u seriously think people are gonna pay 100k over ask on a house forever??? Literally cheaper to make a house outta gold than lumber.,gymy13k
UWMC,0.0,0.0,UWMC short borrow fee 87%. Sidney Crosby 87. Bullish on United Wholesale Methodist Church. 🙏,gymyxzw
AAPL,0.0,0.125,"The absolute gangbang of AAPL has been distributing. It’s relentless, shocking and comical at the same time.",gyn1vxr
TSLA,0.0,0.0,"Went for it thismorning. Bought 4 otm puts on TSLA when I saw it tanking. Trying to recoup previous loses, and what happened immediately after I hit ""buy""? Anyone? Anyone? lol",gyn2673
AAPL,0.0,0.0,I bought the 4 pack of Airtags so don’t blame me for your AAPL GUHs,gyn26kh
PLTR,0.0,0.0,If red days are what it takes for PLTR to go up then I'm ok with this,gyn7wr4
AMC,0.0,0.0,"I might have sold my AMC, earning some tendies but I still got love for AMC gang.",gyn83jk
TSLA,0.0,0.0,Of course Cathie adds more $TSLA,gynbnrl
SQ,0.43333333333333335,0.8333333333333334,SQ MARA RIOT easily down 15% at open,gynelmd
MARA,0.43333333333333335,0.8333333333333334,SQ MARA RIOT easily down 15% at open,gynelmd
RIOT,0.43333333333333335,0.8333333333333334,SQ MARA RIOT easily down 15% at open,gynelmd
PLTR,0.0,0.0,PLTR heading to $22 by EOY 😎,gynlpwz
AAPL,0.0,0.0,Loaded up on AAPL calls EoD. I’m ready to be hurt,gym0ch0
AMD,-0.07142857142857142,0.21428571428571427,Mama su bae I promise to study really hard if AMD can just have a single 1% green day uwu,gym1yuu
AAPL,0.0,0.06666666666666667,AAPL liquidating after hours. That last half hour wasn't enough.,gym2o46
AAPL,0.0,0.0,What’s the deal with AAPL,gym8f4y
TSLA,0.0,0.0,TSLA hasn’t had more than 4 red weeks in a row since Feb 19,gympi45
PLTR,0.0,0.0,PLTR bag holder checking in.  Up three days in a row?  Hold me WSB I'm scared.  I think we might be leaving for the moon and I forgot to pack my toothbrush.,gymrte2
BB,0.0,0.0,BB,gyn1fbn
BNGO,0.0,0.0,BNGO tendies are delicious with BBQ sauce 😎🤑🚀,gyn4nbp
BBQ,0.0,0.0,BNGO tendies are delicious with BBQ sauce 😎🤑🚀,gyn4nbp
TECH,0.5859375,0.75,"BULLISH TECH BULL MARKET UNTIL 2028

STAY IN THE MARKET & GET RICH BOYS!!",gynhq4r
STAY,0.5859375,0.75,"BULLISH TECH BULL MARKET UNTIL 2028

STAY IN THE MARKET & GET RICH BOYS!!",gynhq4r
TSLA,0.0,0.0,There is zero chance that TSLA makes a low that is not a lowered low on the daily.,gynlash
RIOT,0.0,0.0,"RIP COIN, MARA, RIOT bagholders",gynm5mm
MVIS,-0.17410714285714285,0.4223214285714286,"Since MVIS 2 or 3 months ago, I haven't seen a single good yolo DD here. 

And by good I don't mean something that turned out to be profitable - AMC/GME broken watches are right once every month.

I mean something that was actually DD.

Shit, don't make me look for stocks myself guys.",gymibpt
LAND,0.0,0.05,"##IM GONNA DIP MY WIENER IN SUGAR WATER,  THEN GO OUTSIDE AND LET BUTTERFLIES LAND ON IT!!!!! 🦋🦋🦋🦋🦋",gynag54
GME,0.0,0.0,GME 🚀🤑,gylzn64
TEAM,0.0,0.0,DRILL TEAM 6,gylzr28
PLTR,0.0,0.0,PLTR,gym01d5
GME,0.0,0.1,Heard some twitch thot amouranth makes half a million a year. Are dudes who donated retarded? You get way better value proposition with an actual whore or GME FD calls!,gym87po
AMD,0.0,0.0,Are there any AMD long term bulls here?,gym9p7g
U,0.0642857142857143,0.20714285714285713,U know ur fcked when u start searching up how much a stock can rise in a single day,gymb0pu
AAPL,0.0,0.0,AAPL ruined all my gains once again.,gymb4zz
